NODE,Si
11381,0.0481
11382,0.0221
11383,0.0232
11384,0.0243
11385,0.0223
11386,0.1033
11387,0.1093
11388,0.1016
11389,0.0883
11390,0.1165
11391,0.1375
11392,0.1243
11393,0.0201
11514,0.0316
11515,0.0428
11516,0.0532
11517,0.0721
11518,0.0907
11519,0.0945
11520,0.0385
11521,0.0292
11522,0.0185
11523,0.0146
11524,0.0116
11557,0.0363
11558,0.0425
11559,0.0564
11560,0.1436
11561,0.2001
11562,0.311
11563,0.4054
11564,0.3902
11565,0.3584
11566,0.2903
11567,0.0851
11568,0.0228
11569,0.0285
11570,0.0391
11571,0.0624
11572,0.0588
11573,0.085
11574,0.0758
11575,0.0532
11576,0.0298
11577,0.0334
11578,0.0125
11579,0.0101
11580,0.0083
11617,0.0262
11618,0.0246
11619,0.0244
11620,0.0269
11621,0.0331
11622,0.0491
11623,0.0617
11624,0.1288
11625,0.2528
11626,0.4098
11627,0.5271
11628,0.4792
11629,0.2878
11630,0.0335
11631,0.0291
11632,0.0325
11633,0.0526
11634,0.0742
11635,0.12
11636,0.0524
11637,0.0455
11638,0.0167
11639,0.014
11640,0.0113
11673,0.0428
11674,0.053
11675,0.063
11676,0.0764
11677,0.0929
11678,0.2809
11679,0.3052
11680,0.4834
11681,0.4602
11682,0.3924
11683,0.1459
11684,0.0226
11685,0.028
11686,0.0388
11687,0.0825
11688,0.0872
11689,0.0818
11690,0.0696
11691,0.0451
11692,0.0231
11693,0.0179
11694,0.0156
11695,0.0124
11696,0.0086
11733,0.0262
11734,0.0246
11735,0.0244
11736,0.0269
11737,0.0331
11738,0.0491
11739,0.0617
11740,0.1288
11741,0.2528
11742,0.4098
11743,0.5271
11744,0.4792
11745,0.2878
11746,0.0349
11747,0.0356
11748,0.046
11749,0.0624
11750,0.078
11751,0.1255
11752,0.0227
11753,0.0165
11754,0.0153
11755,0.0142
11756,0.0121
11789,0.0433
11790,0.0544
11791,0.0637
11792,0.0768
11793,0.0922
11794,0.2755
11795,0.3042
11796,0.4835
11797,0.4592
11798,0.3925
11799,0.1456
11800,0.023
11801,0.0274
11802,0.0413
11803,0.0874
11804,0.0893
11805,0.0853
11806,0.0777
11807,0.054
11808,0.0304
11809,0.0326
11810,0.0098
11811,0.0086
11812,0.0084
11849,0.0265
