NODE ,X [m],Y [m],Z [m]
3603,78.329,2.531,0.421
3604,79.104,2.531,0.418
3605,79.878,2.531,0.414
3606,80.652,2.531,0.410
3607,81.426,2.531,0.406
3608,82.201,2.531,0.402
3609,82.975,2.531,0.397
3610,83.749,2.531,0.393
3611,84.523,2.531,0.389
3612,85.298,2.531,0.384
3613,86.072,2.531,0.378
3614,86.846,2.531,0.373
3615,87.621,2.531,0.368
3616,88.395,2.531,0.362
3617,89.169,2.531,0.357
3618,89.943,2.531,0.352
3619,90.718,2.531,0.345
3620,91.492,2.531,0.339
3621,92.266,2.531,0.332
3622,93.041,2.531,0.326
3624,94.589,2.531,0.314
3626,96.138,2.531,0.299
3627,96.912,2.531,0.291
3628,97.686,2.531,0.284
3629,98.461,2.531,0.276
3630,99.235,2.531,0.270
3631,100.009,2.531,0.261
3632,100.783,2.531,0.253
3633,101.558,2.531,0.244
3634,102.332,2.531,0.236
3635,103.106,2.531,0.227
3636,103.881,2.531,0.219
3637,104.655,2.531,0.210
3638,105.429,2.531,0.201
3639,106.203,2.531,0.191
3640,106.978,2.531,0.182
3641,107.752,2.531,0.172
3642,108.526,2.531,0.163
3643,109.301,2.531,0.154
3644,110.075,2.531,0.143
3645,110.849,2.531,0.133
3646,111.623,2.531,0.122
3647,112.398,2.531,0.111
3648,113.172,2.531,0.101
3649,113.946,2.531,0.090
3650,114.721,2.531,0.080
3651,115.495,2.531,0.068
3652,116.269,2.531,0.057
3653,117.043,2.531,0.045
3654,117.818,2.531,0.033
3655,118.592,2.531,0.022
3656,119.366,2.531,0.011
3657,120.141,2.531,-0.002
3658,120.915,2.531,-0.015
3659,121.689,2.531,-0.028
3660,122.205,2.531,-0.036
3661,122.722,2.531,-0.045
3662,123.238,2.531,-0.053
3800,0.650,-2.530,-0.053
3801,1.166,-2.530,-0.044
3802,1.682,-2.530,-0.036
3803,2.198,-2.530,-0.028
3804,2.973,-2.530,-0.015
3805,3.747,-2.530,-0.003
3806,4.521,-2.530,0.010
